Entity,Year,Poverty_Index,gdp_growth,gdp_per_capita
Montenegro,2016,0.04011108248658834,2.949280321,7028.936577
Montenegro,2017,0.044412773470695145,4.716465276,7784.06529
Montenegro,2018,0.05043483401525761,5.077888811,8845.914219
Montenegro,2019,0.05078883735524859,4.062944992,8910.650834
Montenegro,2020,0.043553227735758315,-15.30689376,7677.152226
Netherlands,2010,0.288990923775684,1.342739336,50950.03434
Netherlands,2011,0.30718068848396024,1.551189312,54159.34661
Netherlands,2012,0.2839907514248578,-1.030353991,50073.00566
Netherlands,2013,0.2959654789443314,-0.130175288,52184.06185
Netherlands,2014,0.29964666979771826,1.423395395,52830.17423
Netherlands,2015,0.25627301537651725,1.959169721,45175.23189
Netherlands,2016,0.2609944121546015,2.191713719,46007.85292
Netherlands,2017,0.275438123460588,2.910902513,48554.99228
Netherlands,2018,0.30072651936522304,2.360915095,53018.62936
Netherlands,2019,0.29764786054023873,1.955588416,52476.27325
Netherlands,2020,0.2971263827721968,-3.798635993,52397.11671
The former Yugoslav Republic of Macedonia,2010,0.02622508577875305,3.358750858,4577.688755
The former Yugoslav Republic of Macedonia,2011,0.029161326957169324,2.339886045,5098.097583
The former Yugoslav Republic of Macedonia,2012,0.0270303130938059,-0.456183224,4728.308142
The former Yugoslav Republic of Macedonia,2013,0.029978899354310713,2.925257665,5241.058345
The former Yugoslav Republic of Macedonia,2014,0.03143106547287906,3.629123513,5495.735049
The former Yugoslav Republic of Macedonia,2015,0.027840043466772203,3.85586514,4861.553971
The former Yugoslav Republic of Macedonia,2016,0.029459568225487807,2.848205194,5149.589074
The former Yugoslav Republic of Macedonia,2017,0.031142407031558007,1.081772738,5450.492881
The former Yugoslav Republic of Macedonia,2018,0.03489547293241417,2.88059671,6108.740108
The former Yugoslav Republic of Macedonia,2019,0.0346911789975254,3.910419538,6070.388054
The former Yugoslav Republic of Macedonia,2020,0.033707894586644145,-5.208444057,5917.262575
Norway,2010,0.49720911013731584,0.701833824,87693.79007
Norway,2011,0.5703551351582319,0.981434479,100600.5624
Norway,2012,0.5756108576400969,2.703109471,101524.1419
Norway,2013,0.5834629054675489,1.034072914,102913.4508
Norway,2014,0.5500720291792485,1.969544301,97019.18275
Norway,2015,0.42163734241324125,1.967128438,74355.51586
Norway,2016,0.3995533439459321,1.071558977,70460.56053
Norway,2017,0.42810923409117213,2.323290208,75496.75406
Norway,2018,0.4664654424134927,1.118828479,82267.80932
